user_id,name,roll_no,academic_year,semester,section
4ec5d679-c4ce-4141-87ed-2defe8ba0e06,Jason Ferguson,0827IT55833,1st,1sem,IT1
3d23c830-b100-4ffb-ba47-d8db9c048f13,Renee Smith,0827IT57200,1st,1sem,IT1
a7f0d105-ea11-4a81-91b5-6afac61f73c1,Cathy Jackson,0827IT87184,1st,1sem,IT1
78d37a1f-fe55-4baf-b943-ab8673af4a36,Kristin Bridges,0827IT30249,1st,1sem,IT1
b608474d-ded5-4a36-94da-a551bb521194,James Baker,0827IT77347,1st,1sem,IT1
cba8050d-e4c7-4dfc-9d40-57fce071de70,Alexander Sanchez,0827IT23272,1st,1sem,IT1
8c945bfa-89c6-43c2-a0c8-b5f31adc115f,Christy Reeves,0827IT83714,1st,1sem,IT1
bd358570-7c03-4370-863b-7f254b49ae7e,Sarah Andrews,0827IT92615,1st,1sem,IT1
69577377-6570-434e-9826-cd8b4c3ee03a,Colton Garcia,0827IT23515,1st,1sem,IT1
a11da1c0-ae7d-456d-a4ea-c7b2d03f92c3,Jerry Sims,0827IT17228,1st,1sem,IT1
cbe42ba9-169d-48c2-8593-577b7dac4573,James Hurst,0827IT10745,1st,1sem,IT1
590ed7ad-6675-4e41-88f1-cd6d3e329e5f,Sarah Bush,0827IT14399,1st,1sem,IT1
297cdacf-9c90-445e-baa5-f7bad59a722a,Sarah Perkins,0827IT43875,1st,1sem,IT1
02c221ac-6651-48b9-ac36-c1894b5bff52,Becky Atkinson,0827IT40643,1st,1sem,IT1
2ff9daee-6aff-457d-8ed2-2d0029128492,Paul Johnson,0827IT92821,1st,1sem,IT1
36773550-074e-489e-854a-803bbe119aa4,Alexa Harrison,0827IT15472,1st,1sem,IT1
68307bb9-c521-41a0-aa09-d39413ca90f0,Adrian Macias,0827IT10577,1st,1sem,IT1
acde771d-50be-44e3-a027-79e9a2764eaf,John Rivera,0827IT61930,1st,1sem,IT1
8528e40d-ab68-467f-b8ec-038c5493a00b,Ryan Tanner,0827IT97025,1st,1sem,IT1
66eed24f-6b9b-449c-a53e-cc3e2fddbfaf,Jeffrey Bryan,0827IT83293,1st,1sem,IT1
2b012b2b-da95-48a3-a06e-a4f30ce9b5b5,Veronica Bright,0827IT54505,1st,1sem,IT1
30b27558-f599-4823-971b-0d261619e14f,John Mason,0827IT98310,1st,1sem,IT1
9de77a2f-3758-4609-a0e3-6135b9e4b7e3,Chelsea Torres,0827IT34340,1st,1sem,IT1
3e89bd0f-7f8b-4143-9547-9dc898e897ae,Alexandra Hopkins,0827IT70177,1st,1sem,IT1
7e183676-90a4-4f98-8c1f-c2a6ec4766a6,Daniel Burke,0827IT64169,1st,1sem,IT1
5c3f2e00-b5b3-4eab-8271-a33072fba209,Miguel Conner,0827IT73362,1st,1sem,IT1
564f9bf0-87a8-4b4b-8954-2b22db5cb94e,Timothy Ward,0827IT35317,1st,1sem,IT1
c491b87a-7c17-4ce9-b6a0-c6bce29eec3b,Donna Carpenter,0827IT47589,1st,1sem,IT1
328edf0a-851e-495f-8e3e-05abea33dfe8,Angela Graham,0827IT50516,1st,1sem,IT1
86d4607d-2d23-4163-9d12-8cfb58e866a2,Judy Walker,0827IT34787,1st,1sem,IT1
ad72e46b-e7eb-4e2d-981f-1175f241f3a2,Tracy Wiley,0827IT10796,1st,1sem,IT1
54c6a1bf-f643-4891-b27e-dbad3f20e50f,Gloria Lin,0827IT26959,1st,1sem,IT1
6e85a44c-0b3e-4be2-87c9-ca2184c9c4f6,Jeffrey Mcbride,0827IT96187,1st,1sem,IT1
802e84dd-237d-4cbb-877e-291013f6cc59,Melissa Smith,0827IT57301,1st,1sem,IT1
184a62e6-065a-480b-b94a-c4f94c429d39,Wesley Anderson,0827IT32621,1st,1sem,IT1
d99e109b-ec70-4096-99e4-acbe9eeca290,Savannah Leon,0827IT57664,1st,1sem,IT1
ac4f3b78-49cd-42f4-b40e-3f9005ff8799,Alisha Reynolds,0827IT97528,1st,1sem,IT1
aa71aa9b-2a5e-443b-be19-1c8d3a321346,Rachel Johnston,0827IT10737,1st,1sem,IT1
0bc412e8-d90e-4da1-b0dc-600e52699d4c,Caitlin Pearson,0827IT79286,1st,1sem,IT1
9a3b5470-a542-47b9-984b-9158d253152f,Elaine Cox,0827IT58538,1st,1sem,IT1
0340c8c5-27ea-4e77-8d89-0a4d1aa21692,Anthony Morrow,0827IT68185,1st,1sem,IT1
ea46eb66-97d4-4dbf-ac8b-8692fecbfb05,Susan Martin,0827IT92078,1st,1sem,IT1
5b958276-8036-46ef-90ab-976492ec4c7c,Stephen Watson,0827IT13665,1st,1sem,IT1
8a133932-8426-4b8c-a947-e2737c5b31cc,Douglas Petty,0827IT91200,1st,1sem,IT1
acab8562-0d98-4a74-a54e-bcfaa2172945,Joseph Hurst,0827IT34044,1st,1sem,IT1
433f816c-97c7-4957-b965-9315608b1443,Kimberly Burgess,0827IT17325,1st,1sem,IT1
fce877e8-12d5-42a4-b03e-195f08b4529c,Kirk Mckee,0827IT33617,1st,1sem,IT1
09af4e28-070a-447d-b8bb-b7d3b08c1e3a,Carol Walsh,0827IT17088,1st,1sem,IT1
39057aef-bd15-4d23-a67f-07bb53b4950d,Seth Solis,0827IT74842,1st,1sem,IT1
298507ab-3b83-4adf-9bd3-89b3538c2ba5,Courtney Hughes,0827IT64205,1st,1sem,IT1
da2449ce-4f14-4c2b-9945-a3bd1a0035a4,Lisa Moreno,0827IT41320,1st,1sem,IT1
a4f2a4dd-aae7-4fe7-9db1-32cc120463f3,Michelle Archer,0827IT94541,1st,1sem,IT1
c354e48e-2ba9-4aba-a24a-6fb51fc3d587,Gregory Williams,0827IT15615,1st,1sem,IT1
f096e599-5b01-46bf-acb3-22bcaedba039,Wendy Mahoney,0827IT11630,1st,1sem,IT1
220618c4-b503-4b7b-804a-806a54328c63,Andrew Hill,0827IT78363,1st,1sem,IT1
3b919380-0427-4ed0-b906-74a8c0d0de3b,Alex Hall,0827IT95756,1st,1sem,IT1
f7b1c239-9e1e-49a0-a1d6-7e5db9dc4933,Mary Sullivan MD,0827IT86058,1st,1sem,IT1
2309f780-de77-484f-97ff-cea52b660ea1,Jonathon Roy,0827IT26448,1st,1sem,IT1
c18ccb7a-9864-4d89-9b66-6b063d1b1ce1,Daniel Patton,0827IT68365,1st,1sem,IT1
9615bc60-ca02-4063-85da-075de9028218,Zachary Cox,0827IT80461,1st,1sem,IT1
77a9a8a7-b416-426a-9379-dda2dd8cc467,Timothy Wood,0827IT83667,1st,1sem,IT1
d78f1383-02ad-4b3d-8c82-18163241f4cf,Bonnie Estrada,0827IT36333,1st,1sem,IT1
9c5b80ab-7f21-4253-ada1-54154a0d9c4a,Kenneth Thompson,0827IT28822,1st,1sem,IT1
af6e20b4-3d4d-49df-add6-dcafb702546a,Kristi Weeks,0827IT58809,1st,1sem,IT1
4fcb0c46-c81e-4cb5-aa90-60f0042b1a4d,Benjamin Evans,0827IT41261,1st,1sem,IT1
83cdaf09-182a-4b46-90ec-c267e444618a,Steven Smith,0827IT84888,1st,1sem,IT1
d89c7bc0-5776-4f28-ac01-37c6c6118e9e,David Wagner,0827IT99434,1st,1sem,IT1
a2f5db31-c709-442a-9373-d4e2708fa132,Debbie Reeves,0827IT41533,1st,1sem,IT1
de89262f-2407-442e-a9fa-13ad38d93970,Cheryl Goodwin,0827IT78488,1st,1sem,IT1
5ad60423-ae30-45df-8ca1-f3012c45c54f,Robin Boyd,0827IT82303,1st,1sem,IT1
991b73fd-cd22-42f8-890c-3bdac989fa02,Brent Patel,0827IT27667,1st,1sem,IT1
d47c482c-b737-4bf2-ac98-de3860292c52,James Maynard,0827IT74051,1st,1sem,IT1
a9a32102-1aa9-4623-91ae-a26a834750cd,Teresa Miller,0827IT69459,1st,1sem,IT1
daa758c4-2298-4a82-8a9b-e8e14377625b,Eric Butler,0827IT85251,1st,1sem,IT1
1ae0cdf6-a236-453d-9d34-0eca9b25eba6,Ricky Pennington,0827IT78281,1st,1sem,IT1
6d0b6ace-78fb-4469-bd64-fb99205729bd,Jasmin Quinn,0827IT37771,1st,1sem,IT1
011d7b12-6e41-417c-ad2e-dcc4c5b798d5,Natalie White,0827IT61034,1st,1sem,IT1
7f17edbf-88b7-4b3a-9fe5-9e156e510523,Austin Wise,0827IT45601,1st,1sem,IT1
b95afb18-a731-4cb2-af8b-87fcd5f32318,Erin Williams,0827IT95008,1st,1sem,IT1
301e2b19-26b2-4e37-9011-61df85ce90bf,Margaret Robertson,0827IT83348,1st,1sem,IT1
b97df587-3529-4dae-a98d-0e8af1448361,Ms. Michelle Fitzgerald,0827IT30093,1st,1sem,IT1
7300b8fd-dc7d-4c4a-9e2a-53b7edda1544,Evan Allen,0827IT62422,1st,1sem,IT1
cf2e721b-cd0e-4536-925f-cc69f1f61a9a,Patrick Lynn,0827IT96041,1st,1sem,IT1
bcfd3601-977c-4b7b-832b-0ec96b4545d1,Rebecca Roman,0827IT77582,1st,1sem,IT1
06534960-ef2c-4ed8-a6a7-db9cb64054ce,James Carter,0827IT20983,1st,1sem,IT1
039acb29-e07b-48a5-8158-37e3c47b262a,Jessica Powell,0827IT37891,1st,1sem,IT1
d739b0d7-a59e-4540-abd8-2336d1800b07,Wendy Grimes,0827IT81224,1st,1sem,IT1
56c641f0-9f57-4406-b16e-fbb6d30c9483,Debbie Delacruz,0827IT51684,1st,1sem,IT1
b0de4579-e726-4996-82b8-2cbb5bfcf0c4,Beth Brown,0827IT21955,1st,1sem,IT1
ba6bbf19-9777-4683-8ce3-79d1c3394645,Catherine Williams,0827IT88575,1st,1sem,IT1
